Rank,Title,basename,Genre,ESRB_Rating,Platform,PublisherName,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,img_url
702,Mario + Rabbids: Kingdom Battle,mario-rabbids-kingdom-battle,Strategy,E10,NS,Ubisoft,Ubisoft Milan,8.3,,,2.59,1.1,1.08,0.22,0.2,2017,https://www.vgchartz.com/games/boxart/full_3788749AmericaFrontccc.png
703,Tom Clancy's The Division,tom-clancys-the-division,Shooter,M,XOne,Ubisoft,Massive Entertainment,,,,2.59,1.54,0.82,,0.24,2016,https://www.vgchartz.com/games/boxart/full_7275072AmericaFrontccc.jpg
704,FIFA Soccer 09,fifa-soccer-09,Sports,E,PS3,Electronic Arts,EA Canada,8.6,,,2.59,0.49,1.63,0.04,0.43,2008,https://www.vgchartz.com/games/boxart/5622818ccc.jpg
705,NBA Live 2005,nba-live-2005,Sports,E,PS2,EA Sports,EA Canada,,,,2.59,2.03,0.21,,0.35,2004,https://www.vgchartz.com/games/boxart/full_3791972AmericaFrontccc.jpg
706,Hotline Miami,hotline-miami,Action,,PC,Devolver Digital,Dennaton Games,,,2.58,,,,,,2012,https://www.vgchartz.com/games/boxart/full_3903285AmericaFrontccc.png
707,Mario & Luigi: Dream Team,mario-amp-luigi-dream-team,Role-Playing,E10,3DS,Nintendo,AlphaDream Corporation,8,,2.58,,,,,,2013,https://www.vgchartz.com/games/boxart/full_5914705AmericaFrontccc.png
708,Bastion,bastion,Role-Playing,E10,PC,Warner Bros. Interactive Entertainment,Supergiant Games,8.5,,2.58,,,,,,2011,https://www.vgchartz.com/games/boxart/full_bastion_213AmericaFront.jpg
709,WWE SmackDown vs. RAW 2007,wwe-smackdown-vs-raw-2007,Fighting,T,PS2,THQ,Yuke's,8,,,2.58,1.4,0.88,0.03,0.26,2006,https://www.vgchartz.com/games/boxart/full_4247117AmericaFrontccc.jpg
710,Skylanders Giants,skylanders-giants,Misc,E10,Wii,Activision,Toys for Bob,,,,2.58,1.49,0.86,,0.23,2012,https://www.vgchartz.com/games/boxart/full_3194680AmericaFrontccc.jpg
711,Ratchet & Clank: Up Your Arsenal,ratchet-amp-clank-up-your-arsenal,Platform,T,PS2,Sony Computer Entertainment,Insomniac Games,9.1,,,2.57,1.31,0.74,0.31,0.22,2004,https://www.vgchartz.com/games/boxart/2584016ccc.jpg
712,Madden NFL 08,madden-nfl-08,Sports,E,PS2,EA Sports,EA Tiburon,,,,2.57,2.14,0.08,,0.35,2007,https://www.vgchartz.com/games/boxart/full_3681984AmericaFrontccc.jpg
713,Clubhouse Games,clubhouse-games,Misc,E,DS,Nintendo,Agenda,8.3,,2.57,,,,,,2006,https://www.vgchartz.com/games/boxart/7521321ccc.gif
714,NBA 2K14,nba-2k14,Sports,E,X360,2K Sports,Visual Concepts,,,,2.57,2.11,0.19,0,0.27,2013,https://www.vgchartz.com/games/boxart/full_7567790AmericaFrontccc.jpeg
715,Ratchet & Clank Future: Tools of Destruction,ratchet-amp-clank-future-tools-of-destruction,Platform,E10,PS3,Sony Computer Entertainment,Insomniac Games,8.9,,,2.57,0.93,1.1,0.08,0.45,2007,https://www.vgchartz.com/games/boxart/full_7788350AmericaFrontccc.jpg
716,Hot Shots Golf,hot-shots-golf,Sports,,PS,Sony Computer Entertainment,Camelot Software Planning,,,,2.56,0.26,0.17,2.13,,1998,https://www.vgchartz.com/games/boxart/4673977ccc.jpg
717,Dragon Age: Origins,dragon-age-origins,Role-Playing,M,X360,Electronic Arts,BioWare Edmonton,8.5,,,2.56,1.76,0.55,0.03,0.22,2009,https://www.vgchartz.com/games/boxart/full_9613529AmericaFrontccc.jpg
718,FIFA 16,fifa-16,Sports,E,PS3,EA Sports,EA Canada,9,,,2.55,0.43,1.68,0.05,0.38,2015,https://www.vgchartz.com/games/boxart/full_5792466AmericaFrontccc.jpg
719,Pokemon Stadium 2,pokemon-stadium-2,Strategy,E,N64,Nintendo,HAL Laboratory,7.9,,2.54,,,,,,2001,https://www.vgchartz.com/games/boxart/6505587ccc.jpg
720,Madden NFL 09,madden-nfl-09,Sports,E,X360,EA Sports,EA Tiburon,8.5,,,2.54,2.21,0.12,,0.2,2008,https://www.vgchartz.com/games/boxart/full_704736AmericaFrontccc.jpg
721,Space Invaders,space-invaders,Shooter,,2600,Atari,Atari,,,,2.53,2.36,0.14,,0.03,1978,https://www.vgchartz.com/games/boxart/7131076ccc.jpg
722,Mario Tennis Aces,mario-tennis-aces,Sports,E,NS,Nintendo,Camelot Software Planning,7.8,,2.53,,,,,,2018,https://www.vgchartz.com/games/boxart/full_3754726AmericaFrontccc.jpg
723,Crazy Taxi,crazy-taxi,Racing,T,PS2,Acclaim Entertainment,Hitmaker,8.2,,,2.52,1.13,1.12,0.06,0.22,2001,https://www.vgchartz.com/games/boxart/7476333ccc.jpg
724,Perfect Dark,perfect-dark,Shooter,M,N64,Rare,Rare Ltd.,9.7,,2.52,,,,,,2000,https://www.vgchartz.com/games/boxart/full_3056323AmericaFrontccc.jpg
725,Tomb Raider (2013),tomb-raider-2013,Action,M,PS3,Square Enix,Crystal Dynamics,8.9,,,2.51,0.6,1.45,0.08,0.38,2013,https://www.vgchartz.com/games/boxart/full_7814840AmericaFrontccc.jpg
726,Midnight Club: Los Angeles,midnight-club-los-angeles,Racing,T,PS3,Rockstar Games,Rockstar San Diego,8.3,,,2.5,1.59,0.54,0.05,0.33,2008,https://www.vgchartz.com/games/boxart/full_134799AmericaFrontccc.jpg
727,PES 2009: Pro Evolution Soccer,pes-2009-pro-evolution-soccer,Sports,E,PS2,Konami,Konami,,,,2.5,0.13,0.07,0.26,2.05,2008,https://www.vgchartz.com/games/boxart/full_5346796AmericaFrontccc.jpg
728,Marvel: Ultimate Alliance,marvel-ultimate-alliance,Role-Playing,T,X360,Activision,Raven Software,8.3,,,2.5,2.29,0.02,,0.19,2006,https://www.vgchartz.com/games/boxart/full_8566994AmericaFrontccc.jpg
729,Crisis Core: Final Fantasy VII,crisis-core-final-fantasy-vii,Role-Playing,T,PSP,Square Enix,Square Enix,8.1,9,2.5,,,,,,2008,https://www.vgchartz.com/games/boxart/full_6177641AmericaFrontccc.jpg
730,Dance Central,dance-central,Music,T,X360,MTV Games,Harmonix Music Systems,8.4,,2.5,,,,,,2010,https://www.vgchartz.com/games/boxart/full_dance-central_7AmericaFront.jpg
731,Diablo,diablo,Role-Playing,M,PC,Blizzard Entertainment,Blizzard Entertainment,8.7,,2.5,,,,,,1996,https://www.vgchartz.com/games/boxart/9277225ccc.jpg
732,Dragon Ball Z: Budokai 3,dragon-ball-z-budokai-3,Fighting,,PS2,Atari,Dimps Corporation,,,2.5,,,,,,2004,https://www.vgchartz.com/games/boxart/full_5976419AmericaFrontccc.jpg
733,Dragon Quest II,dragon-quest-ii,Role-Playing,,NES,Enix,ChunSoft,,,2.5,,,,,,1990,https://www.vgchartz.com/games/boxart/full_9856108AmericaFrontccc.jpg
734,Far Cry,far-cry,Shooter,M,PC,Ubisoft,Crytek,8.6,,2.5,,,,,,2004,https://www.vgchartz.com/games/boxart/9385950ccc.jpg
735,Final Fantasy Tactics,final-fantasy-tactics,Role-Playing,T,PS,Sony Computer Entertainment,SquareSoft,8.8,,2.5,,,,,,1998,https://www.vgchartz.com/games/boxart/full_7911693AmericaFrontccc.jpg
736,Forza Horizon 3,forza-horizon-3,Racing,E,XOne,Microsoft Studios,Playground Games,9,,2.5,,,,,,2016,https://www.vgchartz.com/games/boxart/full_8430955AmericaFrontccc.jpg
737,Warcraft III: The Frozen Throne,warcraft-iii-the-frozen-throne,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,9.2,,2.5,,,,,,2003,https://www.vgchartz.com/games/boxart/4668733ccc.jpg
738,Rise of the Tomb Raider,rise-of-the-tomb-raider,Adventure,M,PC,Square Enix,Crystal Dynamics,,,2.49,,,,,,2016,https://www.vgchartz.com/games/boxart/full_7661736PALFrontccc.jpg
739,Dustforce DX,dustforce-dx,Platform,,PC,Hitbox Team,Hitbox Team,,,2.49,,,,,,2012,https://www.vgchartz.com/games/boxart/full_4322901AmericaFrontccc.jpg
740,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,rockstar-games-double-pack-grand-theft-auto-iii-amp-grand-theft-auto-vice-city,Action,M,XB,Rockstar Games,Rockstar North,9.8,,,2.49,1.84,0.56,,0.09,2003,https://www.vgchartz.com/games/boxart/full_382788AmericaFrontccc.jpg
741,NBA 2K15,nba-2k15,Sports,E,PS4,2K Sports,Visual Concepts,,,,2.49,1.49,0.55,0.01,0.44,2014,https://www.vgchartz.com/games/boxart/full_3442465AmericaFrontccc.jpeg
742,Game Party,game-party,Misc,E,Wii,Midway Games,JGI Entertainment,2.6,,,2.49,1.47,0.77,,0.24,2007,https://www.vgchartz.com/games/boxart/full_618225AmericaFrontccc.jpg
743,Mortal Kombat: Deadly Alliance,mortal-kombat-deadly-alliance,Fighting,M,PS2,Midway Games,Midway,8.2,,,2.49,1.81,0.52,,0.15,2002,https://www.vgchartz.com/games/boxart/5438068ccc.jpg
744,Dungeon Defenders,dungeon-defenders,Role-Playing,E10,PC,Trendy Entertainment,Trendy Entertainment,8.3,,2.48,,,,,,2011,https://www.vgchartz.com/games/boxart/full_dungeon-defenders_987AmericaFront.jpg
745,Mario Party 2,mario-party-2,Misc,E,N64,Nintendo,Hudson Soft,,,2.48,,,,,,2000,https://www.vgchartz.com/games/boxart/4647968ccc.jpg
746,Saints Row: The Third,saints-row-the-third,Action,M,PS3,THQ,Volition Inc.,8.3,,,2.48,0.86,1.06,0.18,0.37,2011,https://www.vgchartz.com/games/boxart/full_saints-row-the-third_775AmericaFront.jpg
747,Tomb Raider: The Last Revelation,tomb-raider-the-last-revelation,Action,T,PS,Eidos Interactive,Core Design Ltd.,,,,2.48,1.15,1.14,0.06,0.13,1999,https://www.vgchartz.com/games/boxart/3834326ccc.jpg
748,Assassin's Creed Origins,assassins-creed-origins,Action,M,XOne,Ubisoft,Ubisoft Montreal,,,,2.47,1.34,0.92,,0.22,2017,https://www.vgchartz.com/games/boxart/full_9921323AmericaFrontccc.jpg
